nu_cm1,R_clean,R_noisy
566.00000000,0.21219093,0.21219093
567.00000000,0.21404160,0.21404160
568.00000000,0.21586766,0.21586766
569.00000000,0.21766732,0.21766732
570.00000000,0.21943884,0.21943884
571.00000000,0.22118049,0.22118049
572.00000000,0.22289059,0.22289059
573.00000000,0.22456746,0.22456746
574.00000000,0.22620948,0.22620948
575.00000000,0.22781504,0.22781504
576.00000000,0.22938260,0.22938260
577.00000000,0.23091061,0.23091061
578.00000000,0.23239761,0.23239761
579.00000000,0.23384213,0.23384213
580.00000000,0.23524278,0.23524278
581.00000000,0.23659819,0.23659819
582.00000000,0.23790704,0.23790704
583.00000000,0.23916807,0.23916807
584.00000000,0.24038004,0.24038004
585.00000000,0.24154177,0.24154177
586.00000000,0.24265214,0.24265214
587.00000000,0.24371007,0.24371007
588.00000000,0.24471452,0.24471452
589.00000000,0.24566452,0.24566452
590.00000000,0.24655915,0.24655915
591.00000000,0.24739753,0.24739753
592.00000000,0.24817885,0.24817885
593.00000000,0.24890236,0.24890236
594.00000000,0.24956733,0.24956733
595.00000000,0.25017314,0.25017314
596.00000000,0.25071919,0.25071919
597.00000000,0.25120494,0.25120494
598.00000000,0.25162993,0.25162993
599.00000000,0.25199375,0.25199375
600.00000000,0.25229603,0.25229603
601.00000000,0.25253649,0.25253649
602.00000000,0.25271489,0.25271489
603.00000000,0.25283106,0.25283106
604.00000000,0.25288488,0.25288488
605.00000000,0.25287630,0.25287630
606.00000000,0.25280534,0.25280534
607.00000000,0.25267205,0.25267205
608.00000000,0.25247658,0.25247658
609.00000000,0.25221910,0.25221910
610.00000000,0.25189987,0.25189987
611.00000000,0.25151921,0.25151921
612.00000000,0.25107747,0.25107747
613.00000000,0.25057509,0.25057509
614.00000000,0.25001257,0.25001257
615.00000000,0.24939044,0.24939044
616.00000000,0.24870931,0.24870931
617.00000000,0.24796984,0.24796984
618.00000000,0.24717276,0.24717276
619.00000000,0.24631883,0.24631883
620.00000000,0.24540890,0.24540890
621.00000000,0.24444384,0.24444384
622.00000000,0.24342459,0.24342459
623.00000000,0.24235214,0.24235214
624.00000000,0.24122754,0.24122754
625.00000000,0.24005189,0.24005189
626.00000000,0.23882632,0.23882632
627.00000000,0.23755202,0.23755202
628.00000000,0.23623024,0.23623024
629.00000000,0.23486227,0.23486227
630.00000000,0.23344942,0.23344942
631.00000000,0.23199308,0.23199308
632.00000000,0.23049467,0.23049467
633.00000000,0.22895564,0.22895564
634.00000000,0.22737748,0.22737748
635.00000000,0.22576174,0.22576174
636.00000000,0.22410998,0.22410998
637.00000000,0.22242381,0.22242381
638.00000000,0.22070488,0.22070488
639.00000000,0.21895484,0.21895484
640.00000000,0.21717542,0.21717542
641.00000000,0.21536833,0.21536833
642.00000000,0.21353533,0.21353533
643.00000000,0.21167821,0.21167821
644.00000000,0.20979877,0.20979877
645.00000000,0.20789885,0.20789885
646.00000000,0.20598028,0.20598028
647.00000000,0.20404494,0.20404494
648.00000000,0.20209471,0.20209471
649.00000000,0.20013148,0.20013148
650.00000000,0.19815717,0.19815717
651.00000000,0.19617369,0.19617369
652.00000000,0.19418298,0.19418298
653.00000000,0.19218697,0.19218697
654.00000000,0.19018760,0.19018760
655.00000000,0.18818681,0.18818681
656.00000000,0.18618656,0.18618656
657.00000000,0.18418879,0.18418879
658.00000000,0.18219544,0.18219544
659.00000000,0.18020845,0.18020845
660.00000000,0.17822976,0.17822976
661.00000000,0.17626128,0.17626128
662.00000000,0.17430494,0.17430494
663.00000000,0.17236263,0.17236263
664.00000000,0.17043624,0.17043624
665.00000000,0.16852766,0.16852766
666.00000000,0.16663873,0.16663873
667.00000000,0.16477129,0.16477129
668.00000000,0.16292716,0.16292716
669.00000000,0.16110813,0.16110813
670.00000000,0.15931598,0.15931598
671.00000000,0.15755244,0.15755244
672.00000000,0.15581923,0.15581923
673.00000000,0.15411804,0.15411804
674.00000000,0.15245052,0.15245052
675.00000000,0.15081829,0.15081829
676.00000000,0.14922295,0.14922295
677.00000000,0.14766603,0.14766603
678.00000000,0.14614907,0.14614907
679.00000000,0.14467352,0.14467352
680.00000000,0.14324083,0.14324083
681.00000000,0.14185240,0.14185240
682.00000000,0.14050957,0.14050957
683.00000000,0.13921364,0.13921364
684.00000000,0.13796588,0.13796588
685.00000000,0.13676751,0.13676751
686.00000000,0.13561968,0.13561968
687.00000000,0.13452352,0.13452352
688.00000000,0.13348008,0.13348008
689.00000000,0.13249040,0.13249040
690.00000000,0.13155542,0.13155542
691.00000000,0.13067605,0.13067605
692.00000000,0.12985317,0.12985317
693.00000000,0.12908755,0.12908755
694.00000000,0.12837995,0.12837995
695.00000000,0.12773106,0.12773106
696.00000000,0.12714151,0.12714151
697.00000000,0.12661186,0.12661186
698.00000000,0.12614265,0.12614265
699.00000000,0.12573431,0.12573431
700.00000000,0.12538726,0.12538726
701.00000000,0.12510182,0.12510182
702.00000000,0.12487827,0.12487827
703.00000000,0.12471684,0.12471684
704.00000000,0.12461768,0.12461768
705.00000000,0.12458089,0.12458089
706.00000000,0.12460649,0.12460649
707.00000000,0.12469447,0.12469447
708.00000000,0.12484475,0.12484475
709.00000000,0.12505716,0.12505716
710.00000000,0.12533152,0.12533152
711.00000000,0.12566755,0.12566755
712.00000000,0.12606492,0.12606492
713.00000000,0.12652325,0.12652325
714.00000000,0.12704209,0.12704209
715.00000000,0.12762094,0.12762094
716.00000000,0.12825924,0.12825924
717.00000000,0.12895636,0.12895636
718.00000000,0.12971162,0.12971162
719.00000000,0.13052429,0.13052429
720.00000000,0.13139359,0.13139359
721.00000000,0.13231866,0.13231866
722.00000000,0.13329860,0.13329860
723.00000000,0.13433247,0.13433247
724.00000000,0.13541925,0.13541925
725.00000000,0.13655790,0.13655790
726.00000000,0.13774729,0.13774729
727.00000000,0.13898628,0.13898628
728.00000000,0.14027366,0.14027366
729.00000000,0.14160817,0.14160817
730.00000000,0.14298853,0.14298853
731.00000000,0.14441338,0.14441338
732.00000000,0.14588134,0.14588134
733.00000000,0.14739099,0.14739099
734.00000000,0.14894085,0.14894085
735.00000000,0.15052942,0.15052942
736.00000000,0.15215514,0.15215514
737.00000000,0.15381645,0.15381645
738.00000000,0.15551173,0.15551173
739.00000000,0.15723932,0.15723932
740.00000000,0.15899754,0.15899754
741.00000000,0.16078469,0.16078469
742.00000000,0.16259903,0.16259903
743.00000000,0.16443878,0.16443878
744.00000000,0.16630218,0.16630218
745.00000000,0.16818739,0.16818739
746.00000000,0.17009258,0.17009258
747.00000000,0.17201591,0.17201591
748.00000000,0.17395550,0.17395550
749.00000000,0.17590947,0.17590947
750.00000000,0.17787591,0.17787591
751.00000000,0.17985292,0.17985292
752.00000000,0.18183856,0.18183856
753.00000000,0.18383091,0.18383091
754.00000000,0.18582803,0.18582803
755.00000000,0.18782798,0.18782798
756.00000000,0.18982881,0.18982881
757.00000000,0.19182858,0.19182858
758.00000000,0.19382534,0.19382534
759.00000000,0.19581714,0.19581714
760.00000000,0.19780206,0.19780206
761.00000000,0.19977816,0.19977816
762.00000000,0.20174352,0.20174352
763.00000000,0.20369622,0.20369622
764.00000000,0.20563437,0.20563437
765.00000000,0.20755608,0.20755608
766.00000000,0.20945948,0.20945948
767.00000000,0.21134273,0.21134273
768.00000000,0.21320399,0.21320399
769.00000000,0.21504144,0.21504144
770.00000000,0.21685331,0.21685331
771.00000000,0.21863783,0.21863783
772.00000000,0.22039326,0.22039326
773.00000000,0.22211789,0.22211789
774.00000000,0.22381006,0.22381006
775.00000000,0.22546811,0.22546811
776.00000000,0.22709043,0.22709043
777.00000000,0.22867544,0.22867544
778.00000000,0.23022160,0.23022160
779.00000000,0.23172740,0.23172740
780.00000000,0.23319139,0.23319139
781.00000000,0.23461214,0.23461214
782.00000000,0.23598826,0.23598826
783.00000000,0.23731842,0.23731842
784.00000000,0.23860133,0.23860133
785.00000000,0.23983573,0.23983573
786.00000000,0.24102042,0.24102042
787.00000000,0.24215426,0.24215426
788.00000000,0.24323613,0.24323613
789.00000000,0.24426500,0.24426500
790.00000000,0.24523985,0.24523985
791.00000000,0.24615974,0.24615974
792.00000000,0.24702377,0.24702377
793.00000000,0.24783111,0.24783111
794.00000000,0.24858096,0.24858096
795.00000000,0.24927260,0.24927260
796.00000000,0.24990536,0.24990536
797.00000000,0.25047862,0.25047862
798.00000000,0.25099182,0.25099182
799.00000000,0.25144447,0.25144447
800.00000000,0.25183611,0.25183611
801.00000000,0.25216638,0.25216638
802.00000000,0.25243496,0.25243496
803.00000000,0.25264157,0.25264157
804.00000000,0.25278602,0.25278602
805.00000000,0.25286817,0.25286817
806.00000000,0.25288793,0.25288793
807.00000000,0.25284530,0.25284530
808.00000000,0.25274031,0.25274031
809.00000000,0.25257306,0.25257306
810.00000000,0.25234372,0.25234372
811.00000000,0.25205250,0.25205250
812.00000000,0.25169970,0.25169970
813.00000000,0.25128565,0.25128565
814.00000000,0.25081076,0.25081076
815.00000000,0.25027549,0.25027549
816.00000000,0.24968035,0.24968035
817.00000000,0.24902594,0.24902594
818.00000000,0.24831289,0.24831289
819.00000000,0.24754188,0.24754188
820.00000000,0.24671367,0.24671367
821.00000000,0.24582907,0.24582907
822.00000000,0.24488893,0.24488893
823.00000000,0.24389418,0.24389418
824.00000000,0.24284577,0.24284577
825.00000000,0.24174472,0.24174472
826.00000000,0.24059212,0.24059212
827.00000000,0.23938907,0.23938907
828.00000000,0.23813676,0.23813676
829.00000000,0.23683639,0.23683639
830.00000000,0.23548923,0.23548923
831.00000000,0.23409660,0.23409660
832.00000000,0.23265984,0.23265984
833.00000000,0.23118036,0.23118036
834.00000000,0.22965959,0.22965959
835.00000000,0.22809902,0.22809902
836.00000000,0.22650016,0.22650016
837.00000000,0.22486456,0.22486456
838.00000000,0.22319382,0.22319382
839.00000000,0.22148956,0.22148956
840.00000000,0.21975344,0.21975344
841.00000000,0.21798715,0.21798715
842.00000000,0.21619241,0.21619241
843.00000000,0.21437096,0.21437096
844.00000000,0.21252458,0.21252458
845.00000000,0.21065505,0.21065505
846.00000000,0.20876420,0.20876420
847.00000000,0.20685387,0.20685387
848.00000000,0.20492592,0.20492592
849.00000000,0.20298222,0.20298222
850.00000000,0.20102466,0.20102466
851.00000000,0.19905514,0.19905514
852.00000000,0.19707559,0.19707559
853.00000000,0.19508792,0.19508792
854.00000000,0.19309407,0.19309407
855.00000000,0.19109599,0.19109599
856.00000000,0.18909561,0.18909561
857.00000000,0.18709487,0.18709487
858.00000000,0.18509573,0.18509573
859.00000000,0.18310013,0.18310013
860.00000000,0.18111002,0.18111002
861.00000000,0.17912732,0.17912732
862.00000000,0.17715396,0.17715396
863.00000000,0.17519187,0.17519187
864.00000000,0.17324295,0.17324295
865.00000000,0.17130910,0.17130910
866.00000000,0.16939220,0.16939220
867.00000000,0.16749411,0.16749411
868.00000000,0.16561668,0.16561668
869.00000000,0.16376175,0.16376175
870.00000000,0.16193110,0.16193110
871.00000000,0.16012652,0.16012652
872.00000000,0.15834977,0.15834977
873.00000000,0.15660258,0.15660258
874.00000000,0.15488663,0.15488663
875.00000000,0.15320362,0.15320362
876.00000000,0.15155516,0.15155516
877.00000000,0.14994287,0.14994287
878.00000000,0.14836831,0.14836831
879.00000000,0.14683301,0.14683301
880.00000000,0.14533848,0.14533848
881.00000000,0.14388615,0.14388615
882.00000000,0.14247744,0.14247744
883.00000000,0.14111373,0.14111373
884.00000000,0.13979634,0.13979634
885.00000000,0.13852655,0.13852655
886.00000000,0.13730560,0.13730560
887.00000000,0.13613468,0.13613468
888.00000000,0.13501491,0.13501491
889.00000000,0.13394740,0.13394740
890.00000000,0.13293318,0.13293318
891.00000000,0.13197324,0.13197324
892.00000000,0.13106850,0.13106850
893.00000000,0.13021986,0.13021986
894.00000000,0.12942814,0.12942814
895.00000000,0.12869410,0.12869410
896.00000000,0.12801846,0.12801846
897.00000000,0.12740188,0.12740188
898.00000000,0.12684496,0.12684496
899.00000000,0.12634824,0.12634824
900.00000000,0.12591220,0.12591220
901.00000000,0.12553727,0.12553727
902.00000000,0.12522381,0.12522381
903.00000000,0.12497212,0.12497212
904.00000000,0.12478245,0.12478245
905.00000000,0.12465499,0.12465499
906.00000000,0.12458986,0.12458986
907.00000000,0.12458713,0.12458713
908.00000000,0.12464679,0.12464679
909.00000000,0.12476878,0.12476878
910.00000000,0.12495299,0.12495299
911.00000000,0.12519925,0.12519925
912.00000000,0.12550730,0.12550730
913.00000000,0.12587686,0.12587686
914.00000000,0.12630755,0.12630755
915.00000000,0.12679897,0.12679897
916.00000000,0.12735063,0.12735063
917.00000000,0.12796200,0.12796200
918.00000000,0.12863248,0.12863248
919.00000000,0.12936142,0.12936142
920.00000000,0.13014812,0.13014812
921.00000000,0.13099180,0.13099180
922.00000000,0.13189164,0.13189164
923.00000000,0.13284678,0.13284678
924.00000000,0.13385628,0.13385628
925.00000000,0.13491915,0.13491915
926.00000000,0.13603437,0.13603437
927.00000000,0.13720086,0.13720086
928.00000000,0.13841747,0.13841747
929.00000000,0.13968302,0.13968302
930.00000000,0.14099629,0.14099629
931.00000000,0.14235598,0.14235598
932.00000000,0.14376080,0.14376080
933.00000000,0.14520935,0.14520935
934.00000000,0.14670025,0.14670025
935.00000000,0.14823202,0.14823202
936.00000000,0.14980320,0.14980320
937.00000000,0.15141224,0.15141224
938.00000000,0.15305759,0.15305759
939.00000000,0.15473764,0.15473764
940.00000000,0.15645076,0.15645076
941.00000000,0.15819528,0.15819528
942.00000000,0.15996951,0.15996951
943.00000000,0.16177171,0.16177171
944.00000000,0.16360014,0.16360014
945.00000000,0.16545302,0.16545302
946.00000000,0.16732855,0.16732855
947.00000000,0.16922490,0.16922490
948.00000000,0.17114022,0.17114022
949.00000000,0.17307266,0.17307266
950.00000000,0.17502033,0.17502033
951.00000000,0.17698134,0.17698134
952.00000000,0.17895379,0.17895379
953.00000000,0.18093575,0.18093575
954.00000000,0.18292529,0.18292529
955.00000000,0.18492049,0.18492049
956.00000000,0.18691939,0.18691939
957.00000000,0.18892007,0.18892007
958.00000000,0.19092056,0.19092056
959.00000000,0.19291892,0.19291892
960.00000000,0.19491322,0.19491322
961.00000000,0.19690150,0.19690150
962.00000000,0.19888185,0.19888185
963.00000000,0.20085232,0.20085232
964.00000000,0.20281101,0.20281101
965.00000000,0.20475600,0.20475600
966.00000000,0.20668541,0.20668541
967.00000000,0.20859736,0.20859736
968.00000000,0.21048999,0.21048999
969.00000000,0.21236146,0.21236146
970.00000000,0.21420995,0.21420995
971.00000000,0.21603366,0.21603366
972.00000000,0.21783081,0.21783081
973.00000000,0.21959967,0.21959967
974.00000000,0.22133850,0.22133850
975.00000000,0.22304562,0.22304562
976.00000000,0.22471937,0.22471937
977.00000000,0.22635811,0.22635811
978.00000000,0.22796026,0.22796026
979.00000000,0.22952425,0.22952425
980.00000000,0.23104857,0.23104857
981.00000000,0.23253174,0.23253174
982.00000000,0.23397230,0.23397230
983.00000000,0.23536886,0.23536886
984.00000000,0.23672006,0.23672006
985.00000000,0.23802458,0.23802458
986.00000000,0.23928116,0.23928116
987.00000000,0.24048858,0.24048858
988.00000000,0.24164565,0.24164565
989.00000000,0.24275126,0.24275126
990.00000000,0.24380433,0.24380433
991.00000000,0.24480384,0.24480384
992.00000000,0.24574880,0.24574880
993.00000000,0.24663831,0.24663831
994.00000000,0.24747150,0.24747150
995.00000000,0.24824755,0.24824755
996.00000000,0.24896572,0.24896572
997.00000000,0.24962531,0.24962531
998.00000000,0.25022566,0.25022566
999.00000000,0.25076621,0.25076621
1000.00000000,0.25124641,0.25124641
1001.00000000,0.25166582,0.25166582
1002.00000000,0.25202401,0.25202401
1003.00000000,0.25232064,0.25232064
1004.00000000,0.25255542,0.25255542
1005.00000000,0.25272813,0.25272813
1006.00000000,0.25283858,0.25283858
1007.00000000,0.25288669,0.25288669
1008.00000000,0.25287240,0.25287240
1009.00000000,0.25279572,0.25279572
1010.00000000,0.25265673,0.25265673
1011.00000000,0.25245557,0.25245557
1012.00000000,0.25219242,0.25219242
1013.00000000,0.25186755,0.25186755
1014.00000000,0.25148127,0.25148127
1015.00000000,0.25103396,0.25103396
1016.00000000,0.25052605,0.25052605
1017.00000000,0.24995804,0.24995804
1018.00000000,0.24933048,0.24933048
1019.00000000,0.24864398,0.24864398
1020.00000000,0.24789920,0.24789920
1021.00000000,0.24709688,0.24709688
1022.00000000,0.24623779,0.24623779
1023.00000000,0.24532276,0.24532276
1024.00000000,0.24435270,0.24435270
1025.00000000,0.24332853,0.24332853
1026.00000000,0.24225127,0.24225127
1027.00000000,0.24112194,0.24112194
1028.00000000,0.23994167,0.23994167
1029.00000000,0.23871158,0.23871158
1030.00000000,0.23743288,0.23743288
1031.00000000,0.23610682,0.23610682
1032.00000000,0.23473467,0.23473467
1033.00000000,0.23331779,0.23331779
1034.00000000,0.23185753,0.23185753
1035.00000000,0.23035534,0.23035534
1036.00000000,0.22881266,0.22881266
1037.00000000,0.22723099,0.22723099
1038.00000000,0.22561189,0.22561189
1039.00000000,0.22395691,0.22395691
1040.00000000,0.22226767,0.22226767
1041.00000000,0.22054582,0.22054582
1042.00000000,0.21879302,0.21879302
1043.00000000,0.21701099,0.21701099
1044.00000000,0.21520145,0.21520145
1045.00000000,0.21336617,0.21336617
1046.00000000,0.21150693,0.21150693
1047.00000000,0.20962554,0.20962554
1048.00000000,0.20772383,0.20772383
1049.00000000,0.20580365,0.20580365
1050.00000000,0.20386686,0.20386686
1051.00000000,0.20191536,0.20191536
1052.00000000,0.19995104,0.19995104
1053.00000000,0.19797581,0.19797581
1054.00000000,0.19599159,0.19599159
1055.00000000,0.19400031,0.19400031
1056.00000000,0.19200391,0.19200391
1057.00000000,0.19000432,0.19000432
1058.00000000,0.18800351,0.18800351
1059.00000000,0.18600341,0.18600341
1060.00000000,0.18400596,0.18400596
1061.00000000,0.18201311,0.18201311
1062.00000000,0.18002680,0.18002680
1063.00000000,0.17804896,0.17804896
1064.00000000,0.17608152,0.17608152
1065.00000000,0.17412638,0.17412638
1066.00000000,0.17218545,0.17218545
1067.00000000,0.17026062,0.17026062
1068.00000000,0.16835376,0.16835376
1069.00000000,0.16646672,0.16646672
1070.00000000,0.16460134,0.16460134
1071.00000000,0.16275944,0.16275944
1072.00000000,0.16094280,0.16094280
1073.00000000,0.15915320,0.15915320
1074.00000000,0.15739237,0.15739237
1075.00000000,0.15566202,0.15566202
1076.00000000,0.15396385,0.15396385
1077.00000000,0.15229949,0.15229949
1078.00000000,0.15067058,0.15067058
1079.00000000,0.14907869,0.14907869
1080.00000000,0.14752537,0.14752537
1081.00000000,0.14601214,0.14601214
1082.00000000,0.14454046,0.14454046
1083.00000000,0.14311177,0.14311177
1084.00000000,0.14172746,0.14172746
1085.00000000,0.14038887,0.14038887
1086.00000000,0.13909730,0.13909730
1087.00000000,0.13785402,0.13785402
1088.00000000,0.13666023,0.13666023
1089.00000000,0.13551709,0.13551709
1090.00000000,0.13442571,0.13442571
1091.00000000,0.13338716,0.13338716
1092.00000000,0.13240245,0.13240245
1093.00000000,0.13147253,0.13147253
1094.00000000,0.13059830,0.13059830
1095.00000000,0.12978063,0.12978063
1096.00000000,0.12902030,0.12902030
1097.00000000,0.12831805,0.12831805
1098.00000000,0.12767457,0.12767457
1099.00000000,0.12709048,0.12709048
1100.00000000,0.12656635,0.12656635
1101.00000000,0.12610270,0.12610270
1102.00000000,0.12569996,0.12569996
1103.00000000,0.12535854,0.12535854
1104.00000000,0.12507876,0.12507876
1105.00000000,0.12486090,0.12486090
1106.00000000,0.12470517,0.12470517
1107.00000000,0.12461171,0.12461171
1108.00000000,0.12458064,0.12458064
1109.00000000,0.12461196,0.12461196
1110.00000000,0.12470565,0.12470565
1111.00000000,0.12486162,0.12486162
1112.00000000,0.12507973,0.12507973
1113.00000000,0.12535974,0.12535974
1114.00000000,0.12570141,0.12570141
1115.00000000,0.12610438,0.12610438
1116.00000000,0.12656827,0.12656827
1117.00000000,0.12709264,0.12709264
1118.00000000,0.12767696,0.12767696
1119.00000000,0.12832067,0.12832067
1120.00000000,0.12902314,0.12902314
1121.00000000,0.12978370,0.12978370
1122.00000000,0.13060159,0.13060159
1123.00000000,0.13147603,0.13147603
1124.00000000,0.13240617,0.13240617
1125.00000000,0.13339109,0.13339109
1126.00000000,0.13442985,0.13442985
1127.00000000,0.13552143,0.13552143
1128.00000000,0.13666477,0.13666477
1129.00000000,0.13785875,0.13785875
1130.00000000,0.13910223,0.13910223
1131.00000000,0.14039398,0.14039398
1132.00000000,0.14173275,0.14173275
1133.00000000,0.14311724,0.14311724
1134.00000000,0.14454610,0.14454610
1135.00000000,0.14601794,0.14601794
1136.00000000,0.14753133,0.14753133
1137.00000000,0.14908480,0.14908480
1138.00000000,0.15067683,0.15067683
1139.00000000,0.15230589,0.15230589
1140.00000000,0.15397038,0.15397038
1141.00000000,0.15566868,0.15566868
1142.00000000,0.15739915,0.15739915
1143.00000000,0.15916009,0.15916009
1144.00000000,0.16094981,0.16094981
1145.00000000,0.16276655,0.16276655
1146.00000000,0.16460854,0.16460854
1147.00000000,0.16647401,0.16647401
1148.00000000,0.16836113,0.16836113
1149.00000000,0.17026806,0.17026806
1150.00000000,0.17219296,0.17219296
1151.00000000,0.17413395,0.17413395
1152.00000000,0.17608914,0.17608914
1153.00000000,0.17805663,0.17805663
1154.00000000,0.18003450,0.18003450
1155.00000000,0.18202084,0.18202084
1156.00000000,0.18401371,0.18401371
1157.00000000,0.18601117,0.18601117
1158.00000000,0.18801128,0.18801128
1159.00000000,0.19001210,0.19001210
1160.00000000,0.19201167,0.19201167
1161.00000000,0.19400805,0.19400805
1162.00000000,0.19599931,0.19599931
1163.00000000,0.19798350,0.19798350
1164.00000000,0.19995869,0.19995869
1165.00000000,0.20192297,0.20192297
